"","Company name","Registered number","Primary UK SIC (2007) code","Latest accounts date","Operating revenue (Turnover) th GBP Last avail. yr","Number of employees Last avail. yr","Credit score","Ticker symbol","Primary UK SIC (2007) description","ISIN number","Operating Profit th GBP Last avail. yr","EBITDA th GBP Last avail. yr","Profit (Loss) before Tax th GBP Last avail. yr","Trade Creditors th GBP Last avail. yr","Short Term Loans & Overdrafts th GBP Last avail. yr","Bank Overdrafts th GBP Last avail. yr","Group Loans (short t.) th GBP Last avail. yr","Director Loans (short t.) th GBP Last avail. yr","Hire Purch. & Leas. (short t.) th GBP Last avail. yr","Hire Purchase (short t.) th GBP Last avail. yr","Leasing (short t.) th GBP Last avail. yr","Other Short Term Loans th GBP Last avail. yr","Total Other Current Liabilities th GBP Last avail. yr","Corporation Tax th GBP Last avail. yr","Dividends payable th GBP Last avail. yr","Accruals & Def. Inc. (short t.) th GBP Last avail. yr","Social Securities & V.A.T. th GBP Last avail. yr","Other Current Liabilities th GBP Last avail. yr","Current Liabilities th GBP Last avail. yr","Net Current Assets th GBP Last avail. yr","Net Tangible Assets th GBP Last avail. yr","Working Capital th GBP Last avail. yr","Total Assets th GBP Last avail. yr","Total Assets minus Current Liabilities th GBP Last avail. yr","Long Term Debt th GBP Last avail. yr","Group Loans (long t.) th GBP Last avail. yr","Director Loans (long t.) th GBP Last avail. yr","Hire Purchase & Lease (LT) th GBP Last avail. yr","Hire Purchase (long t.) th GBP Last avail. yr","Leasing (long t.) th GBP Last avail. yr","Preference Shares (part of Liabilities) th GBP Last avail. yr","Other Long Term Loans th GBP Last avail. yr","Total Other Long Term Liab. th GBP Last avail. yr","Accruals & Def. Inc. (long t.) th GBP Last avail. yr","Other Long Term Liab. th GBP Last avail. yr","Provisions for Other Liab. th GBP Last avail. yr","Deferred Tax th GBP Last avail. yr","Other Provisions th GBP Last avail. yr","Pension Liabilities th GBP Last avail. yr","Long Term Liabilities th GBP Last avail. yr","Net assets th GBP Last avail. yr","Issued Capital th GBP Last avail. yr","Ordinary Shares th GBP Last avail. yr","Preference Shares (part of Equity) th GBP Last avail. yr","Other Shares th GBP Last avail. yr","Total Reserves th GBP Last avail. yr","Share Premium Account th GBP Last avail. yr","Revaluation Reserves th GBP Last avail. yr","Profit (Loss) Account th GBP Last avail. yr","Other Reserves th GBP Last avail. yr","Balance sheet Minorities th GBP Last avail. yr","Shareholders Funds th GBP Last avail. yr","Cash In(Out)flow Operat. Activ. th GBP Last avail. yr","Cash In(Out)flow Ret. On Invest. th GBP Last avail. yr","Taxation th GBP Last avail. yr","Cash Out(In)flow Investing Activ. th GBP Last avail. yr","Capital Expenditure & Financ. Invest. th GBP Last avail. yr","Acquisition & Disposal th GBP Last avail. yr","Equity Dividends Paid th GBP Last avail. yr","Management of Liquid Resources th GBP Last avail. yr","Cash Out(In)flow from Financing th GBP Last avail. yr","Increase (Decrease) Cash & Equiv. th GBP Last avail. yr","EBITDA margin Last avail. yr","Profit margin Last avail. yr"
"332.","EUROCELL PLC","08654028","70100","31/12/2024","357900","2067","92","ECEL","Activities of head offices","GB00BVV2KN49","16600","45200","13800","-30800","-15500","-3000","","","-12500","","-12500","","-14800","","","-8000","-5500","-1300","-61100","33300","93800","53300","223800","162700","-47400","","","-46900","","-46900","","-500","","","","-9900","-8600","-1300","","-57300","105400","100","","","","105300","22200","","82800","300","n.a.","105400","47200","","-3000","-10300","","","-6100","","-30800","-3000","12.629226041","3.85582565"
"333.","EUROPA OIL & GAS (HOLDINGS) PLC","05217946","06100","31/07/2024","3566","12","29","EOG","Extraction of crude petroleum","GB00B03CJS30","-6563","-5593","-6781","-140","","","","","","","","","-1247","","","","","-1247","-1387","1394","5715","871","9779","8392","","","","","","","","","-6","","-6","-4607","","-4607","","-4613","3779","9592","","","","-5813","23682","","-32346","2851","n.a.","3779","-829","214","","-3303","","","","","-7","-3925","n.s.","n.s."
"334.","EUROPEAN GREEN TRANSITION PLC","15442832","64209","31/12/2024","","5","68","EGT","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BPVG5407","-2195.319","-2194.694","-2140.03","-52.821","","","","","","","","","-239.108","","","-220.83","-17.346","-0.932","-291.929","3451.367","3453.872","-52.821","5732.514","5440.585","","","","","","","","","","","","","","","","n.a.","5440.585","361.552","","","","5079.033","7720.127","","-2983.771","342.677","n.a.","5440.585","-1535.157","-55.289","","-651.577","","","","","5804.679","3562.656","",""
"335.","EUROPEAN OPPORTUNITIES TRUST PLC","04056870","64301","31/05/2025","9929","6","86","EOT","Activities of investment trusts","GB0000197722","3992","3992","-30","","-70000","-70000","","","","","","","-2277","","","","","-2277","-72277","-41553","602773","","675050","602773","","","","","","","","","","","","","","","","n.a.","602773","888","","","","601885","204133","","363779","33973","n.a.","602773","3565","-3288","-880","36033","","","-1265","","-14489","19676","","-0.302145231"
"336.","EVEREST GLOBAL PLC","07913053","10890","31/10/2024","437.768","12","86","AAAP","Manufacture of other food products n.e.c.","GB00B7V2GY97","-669.607","-668.314","4125.489","-87.334","-746.435","","-154.376","","-16.826","","-16.826","-575.233","-160.103","","","","","-160.103","-993.872","2202.139","2218.604","-48.081","4133.96","3140.088","-3043.716","","","-34.869","","-34.869","","-3008.847","","","","","","","","-3043.716","96.372","1547.778","","","","-1451.406","3752.967","","-5748.638","544.265","n.a.","96.372","-726.373","","","-2843.755","","","","","2991.965","-578.163","n.s.","n.s."
"337.","EVERPLAY GROUP PLC","11205116","58210","31/12/2024","166624","351","93","EVPL","Publishing of computer games","GB00BYVX2X20","23947","59880","25323","-5124","","","","","","","","","-34322","-1714","","-30716","-796","-1096","-39446","69047","71720","16912","310647","271201","","","","","","","","","-2227","","-2227","-6408","-6281","-127","","-8635","262566","1458","","","","261108","137572","","118450","5086","n.a.","262566","59964","100","-7238","-31885","","","","","-583","20358","35.937199923","15.197690609"
"338.","EVERYMAN MEDIA GROUP PLC","08684079","59140","02/01/2025","107173","1628","89","EMAN","Motion picture projection activities","GB00BFH55S51","-3362","14131","-10217","-5850","","","","","","","","","-24421","","","-18075","-3290","-3056","-30271","-12038","97368","-2245","200401","170130","-28000","","","","","","","-28000","-104082","","-104082","-1596","","-1596","","-133678","36452","9118","","","","27334","57112","","-41013","11235","n.a.","36452","23257","-6614","-1682","-16073","","","","","4350","3238","13.18522389","-9.533184664"
"339.","EVRAZ PLC","07784342","24100","31/12/2021","9963000","67728","n.a.","EVR","Manufacture of basic iron and steel and of ferro-alloys","GB00B71N6K86","3386000","3850000","3229000","-907000","-128000","-44000","-37000","","-16000","","-16000","-31000","-1577000","-49000","","","-107000","-1421000","-2612000","1620000","4236000","678000","7279000","4667000","-2577000","","","-36000","","-36000","","-2541000","-57000","","-57000","-277000","-143000","-134000","-106000","-3017000","1650000","1919000","","","","-401000","","","2565000","-2966000","133000","1650000","2298000","132000","89000","-671000","","","-1131000","","-855000","-139000","38.642979022","32.409916692"
"340.","EXPERIAN PLC","JE93905","82990","31/03/2023","5352000","21607","n.a.","EXPN","Other business support service activities n.e.c.","GB00B19NLV48","1023000","1720000","949000","-548000","-126000","-3000","","","-35000","","-35000","-88000","-1196000","-109000","","-623000","-106000","-358000","-1869000","-418000","557000","480000","8784000","6915000","-3188000","","","-85000","","-85000","","-3103000","-308000","","-308000","-182000","-180000","-2000","-32000","-3710000","3205000","78000","","","","3099000","1455000","","16532000","-14888000","28000","3205000","1847000","-34000","-424000","-766000","","","-391000","","-193000","38000","32.137518685","17.731689088"
"341.","F&C INVESTMENT TRUST PLC","00012901","64999","31/12/2024","111806","9","92","FCIT","Other financial service activities, except insurance and pension funding, (not including security dealing on own account and factoring) n.e.c.","GB0003466074","100685","100685","97252","-5667","","","","","","","","","-7242","","","-2520","","-4722","-12909","93298","6257823","-460","6270732","6257823","-578726","","","","","","","-578726","-575","","-575","","","","","-579301","5678522","140455","","","","5538067","","","116240","5421827","n.a.","5678522","74051","-374","-15031","","299852","","-75604","","-281473","1421","","86.982809509"
"342.","F.W. THORPE PUBLIC LIMITED COMPANY","00317886","27400","30/06/2025","175221","988","99","TFW","Manufacture of electric lighting equipment","GB00BC9ZLX92","32057","41566","31622","-15780","-415","","","","","","","-415","-25224","-847","","-12807","-4012","-7558","-41419","87847","138271","43089","247944","206525","-829","","","","","","","-829","-7016","","-7016","-8887","-5577","-3310","","-16732","189793","1189","","","","188604","3113","","182942","2549","n.a.","189793","41006","-57","-6841","-8717","","","-10958","","-5214","9219","23.722042449","18.046923599"
"343.","FACILITIES BY ADF PLC","13761460","82990","31/12/2024","35202","343","86","ADF","Other business support service activities n.e.c.","GB00BNZGNM64","-1337","6615","-2838","-1332","","","","","","","","","-8640","-461","","-1347","-1566","-5266","-9972","-3817","11451","1221","74211","64239","","","","","","","","","-26809","","-26809","-3724","-3682","-42","","-30533","33706","1078","","","","32628","25174","","3180","4274","n.a.","33706","10134","50","-186","-14831","","","-1267","","4911","-1189","18.791545935","-8.062041929"
"344.","FAIRVIEW INTERNATIONAL PLC","15528502","85590","30/06/2025","5342","181","92","FIL","Other education n.e.c.","GB00BR83RJ78","2957","8833","1300","","-4154","-4154","","","","","","","-3043","-343","","","","-2700","-7197","-894","17275","79","26081","18884","-7500","","","","","","","-7500","-3648","","-3648","-1974","-1974","","","-13122","5762","5560","","","","202","2176","","724","-2698","n.a.","5762","-3474","-471","-424","1949","","","","","1884","-536","n.s.","24.335454886"
"345.","FDM GROUP (HOLDINGS) PLC","07078823","70100","31/12/2024","257704","4779","93","FDM","Activities of head offices","GB00BLWDVP51","27439","29155","28062","-1782","-4586","","","","-4586","","-4586","","-19962","","","-12381","-5808","-1773","-26330","43587","65656","20515","111450","85120","-17122","","","-17122","","-17122","","","","","","-658","","-658","","-17780","67340","1097","","","","66243","9705","","54013","2525","n.a.","67340","33108","702","-5796","-335","","","-31677","","-3433","-7431","11.313367274","10.889237264"
"346.","FEEDBACK PLC","00598696","70100","31/05/2025","885.623","29","77","FDBK","Activities of head offices","GB0003340550","-4210.547","128.594","-7285.163","-337.767","","","","","","","","","-251.256","","","-149.422","-76.184","-25.65","-589.023","5588.788","5600.371","-335.578","6753.61","6164.587","","","","","","","","","","","","","","","","n.a.","6164.587","6972.13","","","","-807.543","20654.928","","-22383.036","920.565","n.a.","6164.587","-2840.29","","136.868","-833.811","","","","","5609.487","2072.254","14.520173934","n.s."
"347.","FERREXPO PLC","05432915","07100","31/12/2024","745358","6669","31","FXPO","Mining of iron ores","GB00B1XH2C03","14068","66562","-16309","-52926","","","","","","","","","-132845","-10831","","-14806","-10772","-96436","-185771","138635","753736","126598","947970","762199","","","","","","","","","-335","","-335","-5961","-3471","-2490","-18214","-24510","737689","97139","","","","640491","147841","","2736004","-2243355","58","737689","93790","1466","-18591","-81158","","","-37","","-4485","-9014","8.930205351","-2.188076065"
"348.","FEVARA PLC","00098221","70100","31/08/2024","75701","644","86","FVA","Activities of head offices","GB00BRK01058","-6795","112","-6463","-4727","-2764","-2764","","","","","","","-37995","","","-3129","-676","-34190","-45486","77017","95562","13328","143804","98318","-2913","","","","","","","-2913","-448","","-448","-23","-23","","","-3384","94934","2361","","","","92573","10945","","79513","2115","n.a.","94934","8242","668","-551","-524","","","-6006","","-4464","-2635","0.147950489","-8.537535832"
"349.","FEVERTREE DRINKS PLC","08415302","70100","31/12/2024","368500","391","97","FEVR","Activities of head offices","GB00BRJ9BJ26","32800","42400","35500","-28200","","","","","","","","","-33300","-700","","-4600","-900","-27100","-61500","169200","183500","89000","321900","260400","","","","","","","","","-9000","","-9000","-4700","-4700","","","-13700","246700","300","","","","246400","54800","","191100","500","n.a.","246700","78600","500","-5700","-14100","","","-19600","","-3900","35800","11.506105834","9.633649932"
"350.","FIDELITY ASIAN VALUES PLC","03183919","64301","31/07/2025","19419","","92","FAS","Activities of investment trusts","GB0003322319","17783","17783","17095","","-2065","-2","","","","","","-2063","-4476","","-442","-917","-496","-2621","-6541","25657","402708","","409249","402708","","","","","","","","","","","","","","","","n.a.","402708","18895","18895","","","383813","50501","","20229","313083","n.a.","402708","","","","","","","","","","","","88.032339461"
"351.","FIDELITY CHINA SPECIAL SITUATIONS PLC","07133583","64301","31/03/2025","62699","6","92","FCSS","Activities of investment trusts","GB00B62Z3C74","59019","59019","53245","-6070","","","","","","","","","-27050","","","-359","","-26691","-33120","67564","1413802","-864","1446922","1413802","","","","","","","","","","","","","","","","n.a.","1413802","5805","","","","1407997","338107","","72063","997827","n.a.","1413802","176044","-22879","","","","","-33355","","-66988","52822","","84.921609595"
"352.","FIDELITY EUROPEAN TRUST PLC","02638812","64301","31/12/2024","53670","6","86","FEV","Activities of investment trusts","GB00BK1PKQ95","49729","49729","46959","","","","","","","","","","-7269","","","","","-7269","-7269","75357","1563129","","1570398","1563129","","","","","","","","","","","","","","","","n.a.","1563129","10411","","","","1552718","58615","","47879","1446224","n.a.","1563129","","","","","","","","","","","","87.495807714"
"353.","FIDELITY SPECIAL VALUES PLC","02972628","64301","31/08/2025","51646","6","89","FSV","Activities of investment trusts","GB00BWXC7Y93","46220","46220","39995","","","","","","","","","","-4529","","","","","-4529","-4529","102765","1267188","","1271717","1267188","","","","","","","","","","","","","","","","n.a.","1267188","16205","","","","1250983","238442","","54357","958184","n.a.","1267188","41087","-3876","-223","","80659","","-31272","","-3469","82906","","77.440653681"
"354.","FIH GROUP PLC","03416346","70100","31/03/2025","40850","382","89","FIH","Activities of head offices","GB00BD0CWJ91","-5735","-3290","-6649","-5856","-1060","-811","-249","","","","","","-7728","-280","","-2662","","-4786","-14644","5467","48044","3136","71823","57179","-10480","","","","","","","-10480","-5022","","-5022","-2726","-2726","","-1019","-19247","37932","1251","","","","36681","17590","","18431","660","n.a.","37932","4405","","-322","-1508","","","-2097","","-2242","-1764","-8.053855569","-16.276621787"
"355.","FILTRONIC PLC","02891064","26110","31/05/2025","56318","165","95","FTC","Manufacture of electronic components","GB0003362992","13442","15294","13387","-6382","","","","","","","","","-5216","","","-851","","-4365","-11598","22579","30143","10050","49794","38196","","","","","","","","","-2820","-247","-2573","","","","","-2820","35376","10800","","","","24576","11354","","7789","5433","n.a.","35376","13892","-105","-49","-5785","","","","","-635","7318","27.156504137","23.770375368"
"356.","FINSBURY GROWTH & INCOME TRUST PLC","SC013958","64301","30/09/2025","31476","","85","FGT","Activities of investment trusts","GB0007816068","28407","28407","27952","","-32546","-29200","-3346","","","","","","-1226","","","","","-1226","-33772","-23275","1227740","","1261512","1227740","","","","","","","","","","","","","","","","n.a.","1227740","56248","56248","","","1171492","","","57054","1114438","n.a.","1227740","25894","-1819","","306202","","","-30877","","-308917","-9517","","88.804168255"
"357.","FINSETA PLC","08367949","64205","31/12/2024","11354.451","43","99","FIN","Activities of financial services holding companies","GB00BNG7CD28","1513.174","2534.549","1392.03","-293.68","","","","","","","","","-1940.734","","","","-205.491","-1735.243","-2234.414","2000.619","2366.916","-22.199","7396.008","5161.594","-2000","","","","","","","-2000","-246.117","","-246.117","","","","","-2246.117","2915.477","574.171","","","","2341.306","6191.748","","-7311.24","3460.798","n.a.","2915.477","2070.84","102.973","","-1342.27","","","","","-594.351","237.192","22.322074401","12.259773722"
"358.","FINTEL PLC","09619906","70100","31/12/2024","78300","624","86","FNTL","Activities of head offices","GB00BG1THS43","9700","15300","7700","-1500","","","","","","","","","-26100","","","-15700","-3100","-7300","-27600","-5800","2500","7200","169100","141500","-30000","","","","","","","-30000","-2100","","-2100","-7400","-7400","","","-39500","102000","1000","","","","100700","67400","","86000","-52700","300","102000","6300","600","-2100","-25900","","","-4100","","18800","-6400","19.540229885","9.833971903"
"359.","FIRST CLASS METALS PLC","13158545","07290","31/12/2024","","4","28","FCM","Mining of other non-ferrous metal ores","GB00BPJGTF16","-1333.368","-1331.873","-1359.957","-152.829","-700","","","","","","","-700","-405.774","","","-343.287","-26.703","-35.784","-1258.603","-947.143","2712.93","-152.829","3971.533","2712.93","","","","","","","","","-223.108","","-223.108","","","","","-223.108","2489.822","100.819","","","","2389.003","5474.035","","-3785.001","699.969","n.a.","2489.822","-703.465","0.177","","-407.924","","","","","1191.481","80.269","",""
"360.","FIRST DEVELOPMENT RESOURCES PLC","13367677","64209","30/06/2025","","5","68","FDR","Activities of other holding companies (not including agricultural, production, construction, distribution and financial services holding companies) n.e.c.","GB00BRY05092","-460","-460","-463","-339","-389","","","","","","","-389","-280","","","-278","","-2","-1008","-985","-985","-339","3758","2750","","","","","","","","","","","","","","","","n.a.","2750","659","","","","2091","3739","","-1645","-3","n.a.","2750","-43","","","-89","","","","","139","7","",""
"361.","FIRST PROPERTY GROUP PLC","02967020","66300","31/03/2025","7552","43","95","FPO","Fund management activities","GB0004109889","507","606","3026","-1839","-5143","-5143","","","","","","","-12300","-22","","-95","-178","-12005","-19282","-10349","59276","-636","78711","59429","-4307","","","","","","","-4307","-3875","","-3875","-3930","-3930","","","-12112","47317","1536","","","","43554","8222","-2451","39540","-1757","2227","47317","1050","-65","-194","-743","","","","","156","204","8.024364407","40.068855932"
